"","Rank","Name","Platform","Total_Shipped","Critic_Score","Year"
"609",609,"Wii Music","Wii",2.86,5.6,2008
"610",610,"Yokai Watch","3DS",2.86,7.7,2015
"619",619,"Metroid Prime","GC",2.84,9.6,2002
"628",628,"The Legend of Zelda: A Link to the Past","GBA",2.82,9.6,2002
"635",635,"Tekken 5","PS2",2.8,9,2005
"651",651,"Resident Evil","PS",2.75,8.6,1996
"653",653,"Tetris DS","DS",2.74,8.5,2006
"666",666,"Mario Party","N64",2.7,7.6,1999
"672",672,"Mario Party: Island Tour","3DS",2.68,5.5,2013
"697",697,"Mario Strikers Charged","Wii",2.6,7.7,2007
"698",698,"Monster Hunter 3G","3DS",2.6,7.6,2013
"707",707,"Mario & Luigi: Dream Team","3DS",2.58,8,2013
"708",708,"Bastion","PC",2.58,8.5,2011
"713",713,"Clubhouse Games","DS",2.57,8.3,2006
"719",719,"Pokemon Stadium 2","N64",2.54,7.9,2001
"722",722,"Mario Tennis Aces","NS",2.53,7.8,2018
"724",724,"Perfect Dark","N64",2.52,9.7,2000
"729",729,"Crisis Core: Final Fantasy VII","PSP",2.5,8.1,2008
"730",730,"Dance Central","X360",2.5,8.4,2010
"731",731,"Diablo","PC",2.5,8.7,1996
"734",734,"Far Cry","PC",2.5,8.6,2004
"735",735,"Final Fantasy Tactics","PS",2.5,8.8,1998
"736",736,"Forza Horizon 3","XOne",2.5,9,2016
"737",737,"Warcraft III: The Frozen Throne","PC",2.5,9.2,2003
"744",744,"Dungeon Defenders","PC",2.48,8.3,2011
"752",752,"WarioWare Touched!","DS",2.47,7.8,2005
"754",754,"Batman: Arkham City","PC",2.47,9,2011
"756",756,"Mario Party 4","GC",2.46,7,2002
"765",765,"Donkey Kong Country Returns 3D","3DS",2.42,8.6,2013
"767",767,"Kirby Star Allies","NS",2.42,8.1,2018
"770",770,"God of War Collection","PS3",2.42,9.2,2009
"774",774,"Pokemon Colosseum","GC",2.41,7,2004
"781",781,"Dino Crisis","PS",2.4,8.9,1999
"782",782,"Final Fantasy V","SNES",2.4,7.5,1992
"783",783,"Monster Hunter Freedom 2","PSP",2.4,7.6,2007
"791",791,"Mario & Sonic at the London 2012 Olympic Games","Wii",2.39,6.8,2011
"802",802,"Kirby: Triple Deluxe","3DS",2.37,7.8,2014
"806",806,"Sleeping Dogs","PC",2.36,8.5,2012
"812",812,"Pokemon Ranger: Shadows of Almia","DS",2.35,6.7,2008
"813",813,"WarioWare: Smooth Moves","Wii",2.35,8.2,2007
"820",820,"Art Academy","DS",2.33,6.8,2010
"823",823,"Mario Super Sluggers","Wii",2.32,6.7,2008
"824",824,"Mario Tennis","N64",2.32,8.8,2000
"827",827,"Mafia II","PC",2.31,7.6,2010
"833",833,"Papers, Please","PC",2.31,8.4,2013
"834",834,"Chrono Trigger","SNES",2.3,8.8,1995
"835",835,"Final Fantasy III","DS",2.3,7.4,2006
"836",836,"Resident Evil 4","PS2",2.3,9.6,2005
"844",844,"The Legend of Zelda: The Wind Waker","WiiU",2.28,9.3,2013
"850",850,"Animal Crossing","GC",2.27,8.3,2002
"851",851,"Classic NES Series: Super Mario Bros.","GBA",2.27,8.3,2004
"852",852,"Kirby Squeak Squad","DS",2.27,7.3,2006
"862",862,"Batman: Arkham Asylum","PC",2.24,9.3,2009
"863",863,"Fire Emblem: Awakening","3DS",2.24,9,2013
"865",865,"Super Mario All-Stars: Limited Edition","Wii",2.24,7.2,2010
"873",873,"The Legend of Zelda: Link's Awakening DX","GBC",2.22,9.4,1998
"892",892,"Donkey Kong Country","GBC",2.19,9.1,2000
"894",894,"Mario Party 10","WiiU",2.19,6.3,2015
"902",902,"Mario Party 5","GC",2.17,5.9,2003
"903",903,"Star Wars: Rogue Squadron","N64",2.17,9,1998
"909",909,"Devil May Cry","PS2",2.16,9.1,2001
"916",916,"Mario & Luigi: Superstar Saga","GBA",2.15,8.8,2003
"920",920,"Mario & Sonic at the Olympic Games","Wii",2.14,7.2,2007
"938",938,"ARMS","NS",2.1,7.9,2017
"939",939,"Killzone: Shadow Fall","PS4",2.1,9,2013
"940",940,"Kirby: Nightmare in Dream Land","GBA",2.1,8.1,2002
"941",941,"Onimusha 2: Samurai's Destiny","PS2",2.1,8.5,2002
"955",955,"Donkey Kong Country: Tropical Freeze","NS",2.08,9.1,2018
"956",956,"Mario Party 7","GC",2.08,6,2005
"967",967,"Professor Layton and the Last Specter","DS",2.06,8.4,2011
"987",987,"Dead or Alive 3","XB",2.04,8.3,2001
"993",993,"1080: TenEighty Snowboarding","N64",2.03,9.1,1998
"994",994,"Mario Hoops 3 on 3","DS",2.03,7.1,2006
"995",995,"Serious Sam 3: BFE","PC",2.03,7,2011
"999",999,"Onimusha: Warlords","PS2",2.02,8.7,2001
"1009",1009,"Bloodborne","PS4",2,8.2,2015
"1010",1010,"Detroit: Become Human","PS4",2,8,2018
"1013",1013,"Dragon Quest Monsters: Joker 2","DS",2,8.1,2011
"1015",1015,"Driveclub","PS4",2,7.2,2014
"1019",1019,"Your Shape: Fitness Evolved","X360",2,7,2010
"1027",1027,"Donkey Kong Country: Tropical Freeze","WiiU",1.98,8.8,2014
"1029",1029,"Mario Sports Mix","Wii",1.98,6,2011
"1045",1045,"Pokemon Battle Revolution","Wii",1.95,5.2,2007
"1072",1072,"Postal 2","PC",1.91,4.8,2003
"1074",1074,"LEGO City Undercover: The Chase Begins","3DS",1.91,6.2,2013
"1075",1075,"Mario Party 3","N64",1.91,7,2001
"1076",1076,"Paper Mario: The Thousand-Year Door","GC",1.91,9,2004
"1080",1080,"Dead Rising","X360",1.9,8.4,2006
"1081",1081,"Dissidia: Final Fantasy","PSP",1.9,8.1,2009
"1082",1082,"Dragon Ball: Xenoverse 2","PS4",1.9,7.1,2016
"1083",1083,"Dragon Quest Monsters: Joker","DS",1.9,7.6,2007
"1084",1084,"Monster Hunter Tri","Wii",1.9,8.1,2010
"1085",1085,"Parasite Eve","PS",1.9,7.9,1998
"1119",1119,"Kirby's Epic Yarn","Wii",1.85,8.7,2010
"1136",1136,"Donkey Kong Country","GBA",1.82,7.5,2003
"1138",1138,"Star Fox Adventures","GC",1.82,8.1,2002
"1155",1155,"Secret of Mana","SNES",1.8,9.1,1993
"1156",1156,"Sonic Colors","Wii",1.8,7.7,2010
"1158",1158,"Kirby's Return to Dreamland","Wii",1.79,7.6,2011
"1159",1159,"New Play Control! Mario Power Tennis","Wii",1.79,6.6,2009
"1171",1171,"Kirby 64: The Crystal Shards","N64",1.77,7.9,2000
"1180",1180,"The Legend of Zelda: The Minish Cap","GBA",1.76,8.9,2005
"1181",1181,"Wii Party U","WiiU",1.76,6.6,2013
"1205",1205,"Max Payne 3","PC",1.74,9,2012
"1216",1216,"Mario & Luigi: Partners in Time","DS",1.73,8.8,2005
"1222",1222,"Metroid II: Return of Samus","GB",1.72,7.3,1991
"1242",1242,"Chrono Cross","PS",1.7,9.7,2000
"1243",1243,"Devil May Cry 2","PS2",1.7,6.5,2003
"1244",1244,"Dragon Quest V: Hand of the Heavenly Bride","DS",1.7,8.6,2009
"1245",1245,"Dragon Quest VI: Realms of Revelation","DS",1.7,7.6,2011
"1247",1247,"Final Fantasy II","SNES",1.7,10,1991
"1249",1249,"Kingdom Hearts 358/2 Days","DS",1.7,7.5,2009
"1250",1250,"Kingdom Hearts: Birth by Sleep","PSP",1.7,7.9,2010
"1251",1251,"Super Princess Peach","DS",1.7,7.8,2006
"1278",1278,"Tekken 6","X360",1.68,7.8,2009
"1280",1280,"Virtua Fighter 4","PS2",1.68,9.3,2002
"1307",1307,"Golden Sun","GBA",1.65,9.1,2001
"1313",1313,"Plants vs. Zombies","PC",1.65,9,2009
"1319",1319,"Sonic Mega Collection","GC",1.64,7.5,2002
"1321",1321,"Wii Play: Motion","Wii",1.64,5.2,2011
"1326",1326,"Mario Party 6","GC",1.63,7.2,2004
"1340",1340,"Deca Sports","Wii",1.61,5.3,2008
"1341",1341,"The Legend of Zelda: Breath of the Wild","WiiU",1.61,10,2017
"1351",1351,"Dragon Quest IV: Chapters of the Chosen","DS",1.6,8.1,2008
"1356",1356,"Kingdom Hearts: Chain of Memories","GBA",1.6,7.4,2004
"1357",1357,"Lost Planet: Extreme Condition","X360",1.6,7.6,2007
"1358",1358,"Metroid Fusion","GBA",1.6,9,2002
"1359",1359,"Pikmin","GC",1.6,8.1,2001
"1360",1360,"Pokemon Super Mystery Dungeon","3DS",1.6,7.7,2015
"1361",1361,"Resident Evil 4","GC",1.6,9.6,2005
"1362",1362,"Sonic Adventure DX: Director's Cut","GC",1.6,5.4,2003
"1363",1363,"Sonic Unleashed","Wii",1.6,6.7,2008
"1364",1364,"Super Mario Strikers","GC",1.6,8,2005
"1374",1374,"Diddy Kong Racing DS","DS",1.59,5.9,2007
"1395",1395,"AudioSurf","PC",1.56,8.2,2008
